t,o,h,l,c
2026-01-14 22:00:00+00:00,957568.3952000001,957583.6964000001,944552.9422000004,952339.8248000008
2026-01-14 23:00:00+00:00,952339.6886,954365.1096000009,952198.191,953539.9549999994
2026-01-15 00:00:00+00:00,953485.434,953562.7900000003,933957.4264000003,934028.1968000005
2026-01-15 01:00:00+00:00,934028.1968000005,934028.1968000005,912418.9419999998,912854.7759999995
2026-01-15 02:00:00+00:00,912842.6446,912993.9218000011,908391.9272000002,908393.9694000001
2026-01-15 03:00:00+00:00,908394.2672,910545.8665999996,907724.2031999993,910507.7439999992
2026-01-15 04:00:00+00:00,910507.3686,911130.6981999999,909942.7701999998,910913.4855999993
2026-01-15 05:00:00+00:00,910913.5838,914008.2728,910765.9285999999,914006.9058
2026-01-15 06:00:00+00:00,914021.4374,915803.078199999,914021.4374,915803.078199999
2026-01-15 07:00:00+00:00,915803.3239999991,916365.4771999997,914497.8947999992,914497.8947999992
2026-01-15 08:00:00+00:00,914497.8947999992,914497.8947999992,912265.1921999996,912474.7677999979
2026-01-15 09:00:00+00:00,912474.775799998,922332.083599999,912428.5571999999,918849.8827999993
2026-01-15 10:00:00+00:00,918851.8003999993,919021.4957999991,913933.6299999994,918640.7447999992
2026-01-15 11:00:00+00:00,918640.6854,920314.9811999997,918639.1031999999,919693.0363999995
2026-01-15 12:00:00+00:00,919693.0363999995,924615.6145999993,918391.5056000001,920232.5769999996
2026-01-15 13:00:00+00:00,920232.5769999996,926462.8007999989,920118.4087999999,926462.8007999989
2026-01-15 14:00:00+00:00,926462.8407999999,943712.7569999994,912109.4512000005,935230.3129999995
2026-01-15 15:00:00+00:00,935228.2063999999,937584.8751999998,921649.7599999993,923764.5081999993
2026-01-15 16:00:00+00:00,923842.1618,942618.0471999998,923842.1618,937293.4957999998
2026-01-15 17:00:00+00:00,937293.4958,943744.8521999987,936913.533999999,939711.3787999976
2026-01-15 18:00:00+00:00,939711.4393999976,940195.9156,935421.2924000003,938703.5528000005
